Package,Version
abind,1.4-8
akima,0.6-3.6
askpass,1.2.1
assertthat,0.2.1
backports,1.5.1
base,4.5.3
base64enc,0.1-6
bit,4.6.0
bit64,4.8.2
broom,1.0.13
class,7.3-23
classInt,0.4-11
cli,3.6.6
clipr,0.8.1
colorspace,2.1-3
compiler,4.5.3
cpp11,0.5.5
crayon,1.5.3
crul,1.6.0
curl,7.1.0
datasets,4.5.3
DBI,1.3.0
digest,0.6.39
dplyr,1.2.1
e1071,1.7-17
ellipsis,0.3.3
evaluate,1.0.5
fansi,1.0.7
farver,2.1.2
fastmap,1.2.0
fontawesome,0.5.3
generics,0.1.4
geojson,0.3.5
geojsonio,0.11.3
geojsonsf,2.0.5
geometries,0.2.5
ggplot2,4.0.3
glue,1.8.1
graphics,4.5.3
grDevices,4.5.3
grid,4.5.3
gridExtra,2.3.1
gtable,0.3.6
hdar,1.0.7
hms,1.1.4
htmltools,0.5.9
httpcode,0.3.0
httr,1.4.8
httr2,1.3.0
IRdisplay,1.1
IRkernel,1.3.2
isoband,0.3.0
jqr,1.4.0
jquerylib,0.1.4
jsonify,1.2.3
jsonlite,2.0.0
KernSmooth,2.23-26
labeling,0.4.3
lattice,0.22-9
lazyeval,0.2.3
lifecycle,1.0.5
lubridate,1.9.5
magrittr,2.0.5
MASS,7.3-66
methods,4.5.3
mime,0.13
munsell,0.5.1
ncdf4,1.24
openssl,2.4.2
parallel,4.5.3
pbdZMQ,0.3-14
pillar,1.11.1
pkgconfig,2.0.3
prettyunits,1.2.0
progress,1.2.3
protolite,2.4.0
proxy,0.4-29
purrr,1.2.2
R6,2.6.1
rapidjsonr,1.2.1
raster,3.6-32
RColorBrewer,1.1-3
Rcpp,1.1.2
readr,2.2.0
repr,1.1.7
rlang,1.3.0
rnaturalearth,1.2.0
rnaturalearthdata,1.0.0
s2,1.1.11
S7,0.2.2
scales,1.4.0
sf,1.1-2
sfheaders,0.4.5
sp,2.2-3
splines,4.5.3
stars,0.7-3
stats,4.5.3
stats4,4.5.3
stringi,1.8.9
stringr,1.6.0
sys,3.4.3
tcltk,4.5.3
terra,1.9-34
tibble,3.3.1
tidyr,1.3.2
tidyselect,1.2.1
timechange,0.4.0
tools,4.5.3
triebeard,0.4.1
tzdb,0.5.0
units,1.0-1
urltools,1.7.3.1
utf8,1.2.6
utils,4.5.3
uuid,1.2-2
V8,8.2.0
vctrs,0.7.3
viridisLite,0.4.3
vroom,1.7.1
withr,3.0.3
wk,0.9.5
