"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2024/09/20","00:00","-0.082","-","0.037"
"2024/09/20","01:00","-0.281","-","-0.141"
"2024/09/20","02:00","-0.351","-","-0.127"
"2024/09/20","03:00","-0.262","-","0.054"
"2024/09/20","04:00","-0.052","-","0.305"
"2024/09/20","05:00","0.212","-","0.636"
"2024/09/20","06:00","0.459","-","0.907"
"2024/09/20","07:00","0.619","-","1.052"
"2024/09/20","08:00","0.643","-","1.015"
"2024/09/20","09:00","0.531","-","0.805"
"2024/09/20","10:00","0.316","-","0.542"
"2024/09/20","11:00","0.042","-","0.229"
"2024/09/20","12:00","-0.243","-","-0.078"
"2024/09/20","13:00","-0.482","-","-0.345"
"2024/09/20","14:00","-0.608","-","-0.505"
"2024/09/20","15:00","-0.572","-","-0.419"
"2024/09/20","16:00","-0.383","-","-0.183"
"2024/09/20","17:00","-0.099","-","0.119"
"2024/09/20","18:00","0.213","-","0.476"
"2024/09/20","19:00","0.477","-","0.782"
"2024/09/20","20:00","0.63","-","0.942"
"2024/09/20","21:00","0.646","-","0.859"
"2024/09/20","22:00","0.542","-","0.716"
"2024/09/20","23:00","0.353","-","0.504"
"2024/09/21","00:00","0.125","-","0.25"
"2024/09/21","01:00","-0.087","-","0.02"
"2024/09/21","02:00","-0.222","-","-0.101"
"2024/09/21","03:00","-0.225","-","0.038"
"2024/09/21","04:00","-0.086","-","0.233"
"2024/09/21","05:00","0.145","-","0.505"
"2024/09/21","06:00","0.398","-","0.774"
"2024/09/21","07:00","0.601","-","0.97"
"2024/09/21","08:00","0.695","-","1.009"
"2024/09/21","09:00","0.653","-","0.902"
"2024/09/21","10:00","0.488","-","0.67"
"2024/09/21","11:00","0.235","-","0.398"
"2024/09/21","12:00","-0.057","-","0.097"
"2024/09/21","13:00","-0.337","-","-0.196"
"2024/09/21","14:00","-0.552","-","-0.418"
"2024/09/21","15:00","-0.645","-","-0.508"
"2024/09/21","16:00","-0.581","-","-0.378"
"2024/09/21","17:00","-0.38","-","-0.157"
"2024/09/21","18:00","-0.104","-","0.14"
"2024/09/21","19:00","0.181","-","0.458"
"2024/09/21","20:00","0.409","-","0.68"
"2024/09/21","21:00","0.532","-","0.782"
"2024/09/21","22:00","0.536","-","0.742"
"2024/09/21","23:00","0.436","-","0.564"
"2024/09/22","00:00","0.268","-","0.346"
"2024/09/22","01:00","0.084","-","0.149"
"2024/09/22","02:00","-0.069","-","0.009"
"2024/09/22","03:00","-0.139","-","-0.033"
"2024/09/22","04:00","-0.085","-","0.098"
"2024/09/22","05:00","0.088","-","0.314"
"2024/09/22","06:00","0.319","-","0.575"
"2024/09/22","07:00","0.539","-","0.808"
"2024/09/22","08:00","0.687","-","0.949"
"2024/09/22","09:00","0.72","-","0.946"
"2024/09/22","10:00","0.626","-","0.795"
"2024/09/22","11:00","0.425","-","0.561"
"2024/09/22","12:00","0.156","-","0.304"
"2024/09/22","13:00","-0.128","-","0.042"
"2024/09/22","14:00","-0.383","-","-0.191"
"2024/09/22","15:00","-0.564","-","-0.364"
"2024/09/22","16:00","-0.627","-","-0.404"
"2024/09/22","17:00","-0.546","-","-0.275"
"2024/09/22","18:00","-0.354","-","-0.078"
"2024/09/22","19:00","-0.109","-","0.172"
"2024/09/22","20:00","0.134","-","0.418"
"2024/09/22","21:00","0.323","-","0.588"
"2024/09/22","22:00","0.421","-","0.662"
"2024/09/22","23:00","0.417","-","0.623"
"2024/09/23","00:00","0.33","-","0.496"
"2024/09/23","01:00","0.198","-","0.387"
"2024/09/23","02:00","0.066","-","0.266"
"2024/09/23","03:00","-0.029","-","0.191"
"2024/09/23","04:00","-0.045","-","0.224"
"2024/09/23","05:00","0.048","-","0.365"
"2024/09/23","06:00","0.231","-","0.554"
"2024/09/23","07:00","0.439","-","0.742"
"2024/09/23","08:00","0.612","-","0.88"
"2024/09/23","09:00","0.708","-","0.92"
"2024/09/23","10:00","0.696","-","0.857"
"2024/09/23","11:00","0.57","-","0.721"
"2024/09/23","12:00","0.357","-","0.504"
"2024/09/23","13:00","0.1","-","0.277"
"2024/09/23","14:00","-0.154","-","0.037"
"2024/09/23","15:00","-0.372","-","-0.165"
"2024/09/23","16:00","-0.522","-","-0.313"
"2024/09/23","17:00","-0.564","-","-0.311"
"2024/09/23","18:00","-0.484","-","-0.21"
"2024/09/23","19:00","-0.321","-","-0.03"
"2024/09/23","20:00","-0.121","-","0.173"
"2024/09/23","21:00","0.077","-","0.34"
"2024/09/23","22:00","0.233","-","0.467"
"2024/09/23","23:00","0.313","-","0.522"
"2024/09/24","00:00","0.311","-","0.493"
