Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,40,34,-72.25,-46.62,belle,1/6/2023
A70,8,5,-65.32,-60.84,belle,1/6/2023
A74A,30,18,-76.54,-46.81,belle,1/6/2023
A74B,8,4,-76.18,-47.26,belle,1/6/2023
A76A,73,14,-58.76,-48.90,belle,1/6/2023
A76B,20,7,-66.83,-58.97,belle,1/6/2023
A76C,16,7,-66.23,-59.66,belle,1/6/2023
A77,27,4,-77.75,-38.73,belle,1/6/2023
A78,18,4,-68.21,-46.05,belle,1/6/2023
A80A,19,9,-71.98,-59.81,belle,1/6/2023
B09B,24,8,-66.19,143.41,wilke,1/6/2023
B09G,11,7,-68.16,41.84,amerw (grounded),1/6/2023
B15AB,11,4,-66.08,50.59,amerw (grounded),1/6/2023
B22A,38,24,-73.75,-109.53,amune,1/6/2023
B29,7,4,-73.83,-110.49,amune,1/6/2023
B38,6,4,-76.99,-155.11,rosse (fasted),1/6/2023
B39,8,4,-77.01,-42.16,belle,1/6/2023
B45,7,6,-74.43,-109.77,amune (grounded),1/6/2023
B46,10,4,-69.53,-157.51,rosse,1/6/2023
B47,12,5,-73.86,-134.22,amunw,1/6/2023
C15,12,8,-65.94,143.22,wilke (grounded),1/6/2023
C18B,19,4,-66.56,89.34,amere (fasted),1/6/2023
C21B,11,8,-64.98,95.86,wilkw (grounded),1/6/2023
C24,11,2,-64.84,96.03,wilkw (grounded),1/6/2023
C29,5,5,-66.07,142.77,wilke (grounded),1/6/2023
C30,9,3,-64.78,96.29,wilkw (grounded),1/6/2023
C31,9,3,-64.68,96.51,wilkw (grounded),1/6/2023
C33,8,4,-65.36,126.32,wilke,1/6/2023
C35,7,5,-66.55,144.67,wilke,1/6/2023
C36,22,15,-67.93,147.48,wilke (grounded),1/6/2023
C37,8,3,-65.58,99.55,wilkw,1/6/2023
C38A,10,8,-65.21,101.37,wilkw (grounded),1/6/2023
C38B,5,7,-64.90,102.02,wilkw (grounded),1/6/2023
C39,15,7,-65.68,99.53,wilkw (grounded),1/6/2023
D15A,51,24,-66.63,81.90,amere (grounded),1/6/2023
D15B,33,12,-66.97,81.57,amere (grounded),1/6/2023
D20A,14,5,-73.07,-41.95,belle,1/6/2023
D23,8,6,-69.43,74.68,amere (grounded),1/6/2023
D26,16,2,-69.23,29.55,wedde (grounded),1/6/2023
D27,7,4,-73.36,-27.20,weddw,1/6/2023
D28,29,19,-70.19,-56.04,belle,1/6/2023
D29A,15,9,-64.76,-46.50,belle,1/6/2023
D29B,13,7,-70.42,-55.54,belle,1/6/2023
D29C,13,6,-68.52,-47.59,belle,1/6/2023
D30A,37,11,-68.23,-55.05,belle,1/6/2023
D30B,10,5,-69.30,-52.78,belle,1/6/2023
D31,10,2,-70.22,-50.21,belle,1/6/2023
D32,10,9,-66.78,70.03,amere,1/6/2023
